Zone,Price,Years,Rooms,Area,NumberOfElevators,floor,direction
  قیطریه ,9600,16,3,160,1,5,
  هروی ,6750,0,3,150,1,6,
  فرمانیه ,15100,19,3,213,1,5,
  میرداماد ,9200,0,2,115,1,4,
  هروی ,5900,15,3,124,1,3,
  دزاشیب ,9400,15,3,132,1,2,
  میرداماد ,5500,20,2,110,1,4,
  میرداماد ,8950,1,2,124,1,2,
" نبرد شمالی
            ",1210,0,1,41,1,3,شمالی
  از برج کامرانیه جنوبی ,60,1,4,440,1,4,دارد
" نبرد شمالی
            ",1200,17,1,50,0,2,
" نبرد شمالی
            ",2,8,2,74,1,2,شمالی
" خیابان سوم نیروی هوایی
            ",2660,10,2,76,1,,جنوبی
  از برج نخجوان ,79,1,4,470,4,9,دارد
  هروی ,5800,1,2,120,1,3,
  هروی ,22,4,4,290,1,1,
  فرمانیه ,7250,3,3,150,1,4,
  هروی ,5300,18,2,110,1,1,
  ظفر ,10799,0,3,150,1,2,
  فرمانیه ,7250,3,3,145,1,4,
  قیطریه ,12800,8,3,157,1,3,
  ظفر ,5300,17,3,110,1,4,
  هروی ,4700,2,2,100,1,2,
  خیابان دولت ,4680,10,2,78,1,4,
  ظفر ,7350,0,2,99,1,5,
  ظفر ,7300,7,2,112,1,2,
  ظفر ,5900,15,2,105,1,2,
  ظفر ,7950,5,2,117,1,4,
  اختیاریه ,4700,11,2,80,1,4,
  میرداماد ,6400,25,2,165,1,3,
  اختیاریه ,10,16,3,163,1,5,
  میرداماد ,5900,0,2,76,1,3,
  قیطریه ,10200,0,2,120,1,3,
  نیاوران ,25800,1,3,215,1,6,
  جردن ,12750,0,3,150,1,1,
  قلهک ,11200,3,2,150,1,5,
  ظفر ,10150,3,3,149,1,6,
  میرداماد ,12200,0,3,170,1,5,
  اختیاریه ,7,15,2,110,1,1,
  اختیاریه ,6600,0,2,100,1,5,
  میرداماد ,6900,27,3,125,1,5,
  اختیاریه ,6500,15,2,104,1,4,
  اختیاریه ,10,30,3,178,1,2,
  اختیاریه ,9800,0,3,140,1,2,
  دیباجی ,8400,0,2,113,1,5,
  هروی ,5250,7,2,105,1,2,
  میرداماد ,8120,1,3,125,1,4,
  پاسداران ,8,0,3,120,1,3,
  تهرانپارس ,3700,0,2,92,1,1,شمالی
  تهرانپارس ,4600,5,3,141,1,2,جنوبی
  شمس آباد ,3500,15,2,83,1,2,
  ظفر ,9,0,3,125,1,2,
  هروی ,5700,3,2,100,1,1,
  ظفر ,3600,12,2,90,1,1,
  جردن ,11,20,4,200,1,1,
  ظفر ,5200,1,2,80,1,4,
  اختیاریه ,4800,10,2,80,1,4,
  میرداماد ,4160,14,1,78,1,1,
  تهرانپارس غربی ,2720,—,2,85,1,1,شمالی
  میرداماد ,12700,1,30,185,1,3,
  تهرانپارس غربی ,6136,0,2,118,1,5,جنوبی
  جردن ,16,19,3,194,1,2,
  ظفر ,9950,15,4,240,1,5,
  اختیاریه ,6820,0,2,110,1,5,
  میرداماد ,7600,1,2,99,1,3,
  شریعتی ,10800,1,3,150,1,2,
  ظفر ,25350,9,1,65,1,2,
  قیطریه ,8550,6,3,124,1,1,
  نیاوران ,15750,1,3,150,1,2,جنوبی
  قیطریه ,6700,10,2,78,1,5,
  قیطریه ,16800,37,3,257,1,3,
  قیطریه ,3100,15,1,65,1,1,
  میرداماد ,18190,0,4,214,1,4,
  دیباجی ,6750,25,3,116,1,3,
  دروس ,6850,6,2,117,1,4,
  میرداماد ,8550,15,3,150,1,5,
  میرداماد ,6600,1,2,110,1,7,
  قیطریه ,6400,15,2,100,1,4,
" نبرد شمالی
            ",1150,4,1,47,1,2,جنوبی
  خیابان دولت ,9700,13,3,200,1,4,
  میرداماد ,,2,1,200,2,2,
  از برج برج های طلایی ,,5,3,140,8,20,-
" افراسیابی جنوبی
            ",2117,7,2,77,1,4,جنوبی
  قیطریه ,5800,7,2,95,1,3,
" خیابان ششم نیروی هوایی
            ",3,7,2,80,1,4,جنوبی
  دیباجی ,6500,11,2,90,1,3,
  دیباجی ,3200,9,2,62,1,3,
  جردن ,9,30,3,145,1,7,
  قیطریه ,"10,20",17,3,167,1,2,
  میرداماد ,18,0,3,200,1,4,
  تهرانپارس شرقی ,4500,7,3,140,0,2,جنوبی
  هروی ,4550,8,2,70,1,4,
  دیباجی ,3200,25,1,64,1,4,
  قیطریه ,12,1,3,149,1,2,
  فلکه اول تهرانپارس ,4200,7,2,120,1,2,جنوبی
  ظفر ,6300,0,2,110,1,7,
  جردن ,5810,14,1,83,1,1,
  خیابان دولت ,8640,5,3,120,1,1,
  ظفر ,5600,0,2,80,1,5,
  میرداماد ,28,1,4,350,1,4,
  الهیه ,36450,0,3,270,0,,
  هروی ,11100,1,3,150,1,4,
  خیابان دولت ,5600,10,2,94,1,1,
  اختیاریه ,4300,19,2,107,1,1,
  میرداماد ,8950,12,3,160,1,4,
  الهیه ,20900,0,3,190,0,,
  زعفرانیه ,17,1,3,170,0,,
  میرداماد ,11,12,3,200,1,4,
  ظفر ,11250,1,3,150,1,2,
  ولنجک ,17575,2,3,185,0,,
  الهیه ,11,17,3,170,1,1,
  جلفا تهران ,6600,6,2,110,1,2,
  محمودیه ,14850,8,3,165,0,,
  ونک ,12815,18,3,233,1,3,
  زعفرانیه ,24200,2,3,220,0,,
  ولنجک ,21,0,3,200,0,,
  اختیاریه ,2700,20,1,65,1,2,
  جلفا تهران ,6200,1,2,109,1,4,
  قبا ,6300,0,2,90,1,3,
  زعفرانیه ,27500,0,3,250,0,,
  جلفا تهران ,10,20,3,102,1,4,
  هروی ,7200,0,3,120,1,4,
  جلفا تهران ,7200,3,3,117,1,4,
  زعفرانیه ,36,2,4,300,0,,
  ولنجک ,40800,3,4,340,0,,
  پاسداران ,4800,10,2,80,1,4,
  پاسداران ,8700,5,2,116,1,3,
  اختیاریه ,9300,15,3,160,1,4,
  جلفا تهران ,6300,6,2,105,1,3,
  میرداماد ,15810,1,3,186,1,5,
  ظفر ,4700,14,2,90,1,1,
  دروس ,24,4,3,200,1,5,
  اختیاریه ,5,15,2,95,1,4,
  اختیاریه ,6820,0,2,110,1,5,
  هروی ,5100,12,2,95,1,5,
  ظفر ,4700,13,2,90,1,1,
  قلهک ,"4,60",1,1,58,1,5,
  خیابان دولت ,4,12,1,76,1,4,
  قیطریه ,9600,15,3,160,1,4,
  ظفر ,8100,0,3,118,1,3,
  میرداماد ,9225,1,2,123,1,2,
  ظفر ,2990,8,1,60,1,1,
  پاسداران ,34700,0,3,267,1,5,
  الهیه ,11,17,3,170,1,1,
  خیابان دولت ,12136,1,3,148,1,5,
  پاسداران ,15662,0,3,191,1,4,
  شریعتی ,5500,6,2,90,1,2,
  قیطریه ,7500,3,2,100,1,1,
  ظفر ,9450,3,3,135,1,6,
  میرداماد ,10300,1,3,148,1,3,
  اختیاریه ,9,0,2,120,1,2,
  قیطریه ,6300,13,2,88,1,2,
  خیابان دولت ,8700,9,3,145,1,2,
  ظفر ,2100,7,1,45,1,3,
  میرداماد ,3300,10,1,60,1,4,
  خیابان دولت ,5767,15,4,146,1,4,
  خیابان دولت ,"10,77,500",12,3,145,1,4,
  اختیاریه ,7910,0,2,113,1,5,
  اختیاریه ,11100,0,3,150,1,4,
  اختیاریه ,8800,20,3,160,1,4,
  ظفر ,6100,15,3,154,1,3,
  خیابان دولت ,9990,1,2,111,1,4,
  هروی ,1650,18,1,60,1,2,
  اختیاریه ,6438,6,2,111,1,2,
  قیطریه ,9550,14,3,160,1,5,
  فرمانیه ,29760,1,3,192,1,7,
  دروس ,9,26,2,120,1,3,
  اختیاریه ,"8,40",2,2,120,1,1,
  دیباجی ,6500,4,2,97,1,4,
  میرداماد ,20570,6,3,187,1,4,
  میرداماد ,13600,0,3,160,1,3,
  ظفر ,6600,1,2,110,1,7,
  میرداماد ,26250,1,4,350,1,4,
  زعفرانیه ,14400,10,3,160,0,,
  ظفر ,11250,1,3,150,1,2,
  زعفرانیه ,15200,1,3,160,0,,
  اختیاریه ,5185,20,2,110,1,2,
  دیباجی ,6900,11,2,120,1,1,
  خیابان دولت ,4280,20,3,110,1,1,
  ظفر ,5600,1,2,80,1,4,
  خیابان دولت ,5550,15,2,101,1,0,
  خیابان دولت ,4600,20,2,115,1,4,
  ظفر ,14875,0,3,222,1,4,
  اختیاریه ,9999,26,3,178,1,3,
  خیابان دولت ,4140,24,2,92,1,3,
  میرداماد ,18,0,3,200,1,4,
  ظفر ,"6,50",0,2,110,1,5,
  جلفا تهران ,4800,2,2,115,1,1,
  جلفا تهران ,7200,110,2,110,1,2,
  ظفر ,9,1,3,125,1,4,
  اختیاریه ,9750,13,3,195,1,4,
  دیباجی ,4300,1,1,74,1,5,
  هروی ,5,13,2,95,1,5,
  میرداماد ,4900,0,1,70,1,2,
  جلفا تهران ,6,2,3,150,1,3,
  قلهک ,5800,22,3,116,1,1,
  دیباجی ,7900,12,3,140,1,4,
  جردن ,13542,8,3,183,1,1,
  جلفا تهران ,4212,4,2,81,1,4,
  خیابان دولت ,6820,1,2,110,1,5,
  پاسداران ,18,0,3,180,1,2,
  جلفا تهران ,4500,18,2,95,1,4,
  جردن ,11,19,4,200,1,1,
  خیابان دولت ,8120,4,2,116,1,1,
  فرمانیه ,24600,15,3,300,1,6,
  هروی ,3300,4,1,65,1,2,
  اقدسیه ,20,16,4,250,1,4,شمالی
  خیابان دولت ,12525,1,3,167,1,2,
  فرمانیه ,12500,10,3,160,1,6,
  میرداماد ,9700,0,3,130,1,5,
  اختیاریه ,13300,4,3,190,1,5,
  دروس ,"8,85",6,3,147,1,5,
  اختیاریه ,6,12,2,90,1,2,
  هروی ,6600,0,3,150,1,3,
  اختیاریه ,10406,16,3,121,1,1,
  خیابان دولت ,5,15,2,100,1,1,
  قیطریه ,4500,1,1,70,1,5,
  فلکه اول تهرانپارس ,9500,0,3,202,1,1,شمالی
  قلهک ,4200,18,2,88,1,2,
  خیابان دولت ,9300,14,3,156,1,4,
  قیطریه ,9,6,2,120,1,5,
  اختیاریه ,13720,0,3,140,1,4,
  ظفر ,9375,2,3,125,1,3,
  خیابان دولت ,6400,30,3,144,1,2,
  فرمانیه ,22500,20,4,235,1,1,
  اختیاریه ,8400,18,3,150,1,5,
  فلکه اول تهرانپارس ,6860,—,3,132,1,2,جنوبی
  هروی ,8680,1,3,140,1,4,
  اختیاریه ,6498,15,3,114,1,2,
  خیابان دولت ,4,12,1,80,1,4,
  از برج بوکان ,60,1,4,350,4,10,-
 ,210,8,4,350,1,5,-
  اختیاریه ,4850,2,2,85,1,5,
  ظفر ,2,20,1,50,1,4,
  هروی ,5850,16,3,130,1,5,
  قیطریه ,11792,2,3,176,1,2,
  دروس ,15675,0,3,165,1,5,
  یاسر ,43,3,4,355,1,5,شمالی
  قیطریه ,8680,14,3,140,1,5,
  ظفر ,10,3,3,149,1,6,
  ونک ,11600,4,3,145,1,2,
  قیطریه ,9350,15,3,158,1,5,
  میرداماد ,9375,2,2,125,1,3,
  خیابان دولت ,8300,4,2,125,1,2,
  جردن ,10200,0,2,120,1,2,
  اختیاریه ,9999,10,3,145,1,1,
  فرمانیه ,11900,1,3,126,1,4,
  پاسداران ,4800,10,2,80,1,4,
  جردن ,11700,30,3,156,1,2,
  قیطریه ,4500,25,2,118,1,3,
  میرداماد ,6500,15,3,125,1,5,
  قیطریه ,9800,15,3,167,1,2,
  اختیاریه ,9,1,2,125,1,3,
  فرمانیه ,12870,1,3,143,1,3,
  ظفر ,7150,1,2,110,1,9,
  دزاشیب ,12,4,3,160,1,5,
  دیباجی ,8,5,3,120,1,1,
  خیابان دولت ,8,5,2,120,1,5,
  دیباجی ,8330,3,3,170,1,3,
  دیباجی ,6968,0,2,104,1,5,
  هروی ,3,9,1,61,1,3,
  میرداماد ,6,27,2,85,1,3,
  اختیاریه ,8,5,2,120,1,1,
  خیابان دولت ,"8,80",5,2,100,1,1,
  الهیه ,45,0,3,300,2,3,
  قیطریه ,8680,15,3,140,1,5,
  خیابان دولت ,10,1,2,125,1,4,
  میرداماد ,11130,18,3,210,1,5,
  دروس ,14500,14,3,161,1,2,
  آجودانیه ,22,0,3,220,1,4,جنوبی
  نیاوران ,"21,25",0,3,145,1,4,شرقی، جنوبی
  اقدسیه ,14250,6,3,150,1,3,شمالی
  نیاوران ,10,4,2,100,1,1,شرقی، جنوبی
  میرداماد ,9150,0,2,122,1,2,
  میرداماد ,9200,1,2,115,1,4,
  میرداماد ,6950,0,2,76,1,3,
  میرداماد ,18450,1,3,205,1,2,
  دیباجی ,"4,60",30,2,116,1,0,
  میرداماد ,10650,0,3,145,1,5,
  میرداماد ,"13,50",0,3,147,1,2,
  قلهک ,"3,60",15,2,68,1,2,
  دیباجی ,4920,11,2,82,1,1,
  خیابان دولت ,6300,15,2,112,1,5,
  دیباجی ,4,13,2,95,1,1,
  اختیاریه ,4850,2,2,85,1,5,
  قیطریه ,16150,0,3,170,1,5,
  زعفرانیه ,18525,9,3,195,0,4,
"  آجودانیه
            ",18,0,3,156,1,2,جنوبی
  دیباجی ,8100,0,2,115,1,5,
  دیباجی ,"5,25",0,1,67,1,2,
  اختیاریه ,6200,12,2,95,1,2,
  اختیاریه ,12350,2,4,190,1,6,
  ظفر ,2100,7,1,45,1,1,
  ظفر ,"6,50",0,2,110,1,5,
  میرداماد ,12150,0,3,135,1,5,
  ظفر ,9,1,3,130,1,5,
  میرداماد ,18900,1,3,210,1,2,
  اختیاریه ,4850,2,2,85,1,5,
  دیباجی ,4300,19,3,107,1,1,
  دیباجی ,6300,0,2,110,1,7,
  اختیاریه ,6820,0,2,110,1,5,
  ظفر ,9,0,3,125,1,2,
  قیطریه ,8400,6,3,125,1,1,
  قلهک ,16250,21,4,250,1,5,
  میرداماد ,9950,0,2,133,1,1,
" خیابان دوم نیروی هوایی
            ",3,15,2,101,1,4,جنوبی
  جردن ,4950,8,2,66,1,3,
  پاسداران ,6900,8,3,115,1,3,
  اختیاریه ,5500,0,2,88,1,2,
  تهران ,10,0,3,125,1,2,
  جلفا تهران ,4620,13,2,110,1,1,
  ظفر ,15,24,4,190,1,2,
  ظفر ,9,3,2,127,1,6,
  پاسداران ,9246,7,3,138,1,2,
  قیطریه ,13500,12,3,193,1,5,
  میرداماد ,18,0,3,200,1,4,
  دزاشیب ,7700,15,2,140,1,4,
  قیطریه ,3950,1,1,50,1,3,
  هروی ,5100,11,2,95,1,5,
  جردن ,11375,9,2,175,1,2,
  میرداماد ,4900,5,1,70,1,2,
  پاسداران ,5390,6,2,83,1,2,
  هروی ,"4,85",0,2,95,1,3,
  جردن ,6496,10,2,116,1,5,
  ونک ,5500,8,2,85,1,3,
  مجیدیه ,2,3,2,70,1,5,
  هروی ,2950,9,1,61,1,3,
  اختیاریه ,10354,11,3,167,1,2,
  اختیاریه ,14,13,3,161,1,2,
  هروی ,4635,15,2,103,1,5,
  دروس ,27,4,4,305,1,8,
  هروی ,5600,3,2,100,1,2,
  میرداماد ,6500,15,3,130,1,5,
  جلفا تهران ,5500,1,2,100,1,4,
  هروی ,4500,6,2,100,1,1,
  میرداماد ,7,0,2,100,1,1,
  ظفر ,"6,50",1,2,110,1,5,
  پاسداران ,"8,85",2,2,105,1,4,
  ظفر ,2100,7,1,45,1,1,
  هروی ,5100,12,2,95,1,5,
  ظفر ,"6,50",1,2,110,1,7,
  ونک ,10500,14,4,150,1,4,
  ظفر ,9450,1,3,135,1,2,
  قیطریه ,7865,30,3,143,1,4,
  قیطریه ,6363,15,2,101,1,4,
  قیطریه ,6363,15,2,100,1,4,
  تهرانپارس شرقی ,2260,12,2,73,1,2,جنوبی
  شمس آباد ,4255,89,3,115,1,2,
  تهرانپارس غربی ,2980,17,2,96,1,2,جنوبی
  ظفر ,9950,15,4,240,1,5,
  ظفر ,5300,20,3,140,1,4,
  میرداماد ,"7,67",0,2,93,1,3,
  قیطریه ,6600,15,2,88,1,2,
  خیابان دولت ,8200,14,3,142,1,1,
  میرداماد ,8950,0,2,123,1,2,
  قیطریه ,6510,4,2,93,1,1,
  سید خندان ,4700,15,3,98,1,2,
  خیابان دولت ,4,14,2,95,1,1,
  دیباجی ,"7,80",16,3,120,1,1,
  هروی ,5500,0,2,100,1,1,
  هروی ,6900,8,3,115,1,3,
  اختیاریه ,10,9,3,144,1,2,
  میرداماد ,13,1,3,165,1,3,
  ظفر ,2100,15,1,50,1,3,
  فلکه اول تهرانپارس ,9,9,4,230,1,3,جنوبی
  فرمانیه ,6500,6,2,93,1,1,
  ظفر ,9375,3,2,127,1,6,
  قیطریه ,6400,6,2,84,1,3,
  میرداماد ,8200,41,3,150,1,5,
  بهار ,6450,5,3,145,1,1,شمالی، جنوبی
  ظفر ,5600,1,2,80,1,4,
  پاسداران ,3450,7,1,55,1,5,
  دزاشیب ,"6,45",5,2,93,1,2,
  میرداماد ,8600,18,3,150,1,1,
  قیطریه ,3700,12,1,60,1,1,
  پاسداران ,5390,5,2,83,1,2,
  ظفر ,7700,1,3,115,1,2,
  میرداماد ,9,3,2,120,1,1,
  ظفر ,13360,0,3,170,1,5,
  اختیاریه ,4800,2,2,85,1,5,
"  خیابان آجودانیه
            ",22,0,4,200,2,10,شمالی، شرقی
  میرداماد ,17500,30,5,300,1,3,
  میرداماد ,7,0,2,100,1,1,
  گلسار ,860,15,3,86,1,3,
  میرداماد ,"4,50",20,2,90,1,1,
  میرداماد ,5460,15,2,105,1,6,
  قیطریه ,9600,15,3,160,1,5,
  میرداماد ,4,30,3,83,1,1,
  معلم سعدی رشت ,1209,9,3,130,1,2,
  پاسداران ,7700,0,2,110,1,5,
  دروس ,8850,0,2,93,1,7,
  میرداماد ,7,1,2,100,1,1,
  منظریه ,913,19,2,83,1,2,
  دیباجی ,"9,75",2,1,165,1,3,
  منظریه ,7260,1,3,242,1,2,
  دیباجی ,"3,94",15,2,68,1,2,
  میرداماد ,5900,1,2,76,1,3,
 ,7105,3,3,145,1,4,شمالی، جنوبی
 فلکه گاز  سعدی رشت ,1650,152,30,152,1,3,
  قیطریه ,6400,5,2,95,1,1,
  قیطریه ,9800,15,3,167,1,2,
  منظریه ,1200,18,2,86,1,3,
  اختیاریه ,10,1,2,125,1,4,
  منظریه ,1450,3,2,105,1,5,
  دولت آباد ,7,1,1,100,1,3,
  دیباجی ,4300,0,1,74,1,5,
  میرداماد ,6,15,2,120,1,1,
  اختیاریه ,6720,0,2,84,1,4,
  میرداماد ,,14,1,40,1,3,
  اختیاریه ,4857,2,2,85,1,2,
  سعدی رشت ,850,12,2,86,1,2,
  مطهری رشت ,590,10,2,60,1,1,
  میرداماد ,4340,8,1,62,1,2,
  میرداماد ,11300,17,3,182,1,4,
  اختیاریه ,10400,0,3,160,1,3,
  هروی ,5,13,2,100,1,3,
  دروس ,6400,5,2,80,1,1,
  جلفا تهران ,4200,26,2,105,1,2,
  اختیاریه ,4,24,2,95,1,3,
  ظفر ,2100,7,1,45,1,1,
  سید خندان ,5,8,2,100,1,3,
  قیطریه ,8906,6,2,122,1,3,شمالی
  کامرانیه جنوبی ,61,1,4,450,1,5,جنوبی
  دزاشیب ,11600,0,3,145,1,2,جنوبی
  از برج کامرانیه شمالی ,55,1,5,500,2,10,دارد
  دروس ,8220,5,2,125,1,5,
  خیابان دولت ,8,2,2,100,1,5,
  خیابان دولت ,6,1,2,85,1,2,
  خیابان دولت ,8,5,2,105,1,5,
  گلسار ,"9,28",0,3,244,1,1,
  میرداماد ,3970,15,2,75,1,1,
  گلسار ,1790,13,2,78,1,1,
  ظفر ,4180,29,2,89,1,1,
  گلسار ,890,16,2,72,1,4,
  فرمانیه ,10,0,2,105,1,5,
  ظفر ,4,0,1,57,1,5,
 معلم رشت ,1500,14,2,125,1,5,
  میرداماد ,9,1,3,150,1,2,
  اختیاریه ,4850,2,2,85,1,5,
  الهیه ,11,18,3,170,1,1,
  اختیاریه ,6820,0,2,110,1,5,
  دیباجی ,3200,9,2,62,1,3,
  میرداماد ,5460,14,2,105,1,6,
" خیابان اول نیروی هوایی
            ",6125,0,3,175,1,3,
" نبرد شمالی
            ",2520,0,2,90,1,4,شمالی
  قلهک ,"4,60",1,1,60,1,5,
" پرستار
            ",3330,2,3,117,1,2,شمالی
" دهم فروردین
            ",3500,0,3,125,1,2,شمالی
 مدرن فرمانیه ,70,0,5,625,2,7,جنوبی
" مقداد
            ",1680,14,2,75,1,4,
  ظفر ,9,0,3,125,1,1,
  ظفر ,6600,1,2,110,1,7,
" قره یاضی
            ",1518,4,1,66,1,1,شمالی
  میرداماد ,"13,40",0,3,170,1,3,
  میرداماد ,26250,1,4,350,1,3,
  قیطریه ,6600,8,2,107,1,5,
  میرداماد ,9200,0,2,115,1,4,
  ظفر ,11250,1,3,150,1,2,
  شهرک میرمهنا ,1700,4,1,63,1,2,
  پاسداران ,"11,50",5,2,130,1,4,
  اختیاریه ,8940,0,3,140,1,1,
  ظفر ,9642,0,3,136,1,3,
  هروی ,3600,1,2,90,1,3,
  ظفر ,7,0,2,115,1,1,
  گلسار ,1400,10,2,75,1,2,
  میرداماد ,11570,0,3,135,1,6,
  جلفا تهران ,2625,25,2,75,1,4,
  اختیاریه ,8700,0,3,116,1,2,
  خیابان دولت ,12180,7,3,174,1,3,
  جلفا تهران ,5382,7,2,117,1,4,
  میرداماد ,15700,0,3,185,1,5,
  دیباجی ,7900,13,3,140,1,4,
  تهرانپارس غربی ,9600,0,3,202,1,1,شمالی
  خیابان دولت ,7850,5,2,120,1,1,
  تهرانپارس غربی ,7500,0,3,148,1,3,شمالی
  ونک ,5530,18,2,123,1,5,
  جردن ,10925,2,2,115,1,2,
  قیطریه ,8500,2,2,113,1,2,
  تهرانپارس شرقی ,"5,80",0,2,127,1,5,جنوبی
  پاسداران ,6600,18,3,130,1,5,
  خیابان دولت ,3499,20,1,61,1,1,
  ونک ,"7,20",1,2,117,1,5,
  قیطریه ,4410,0,1,70,1,1,
  خیابان دولت ,5600,2,1,85,1,4,
  خیابان دولت ,2399,2,2,65,1,4,
  جردن ,15400,30,5,280,1,3,
  درختی ,7,15,3,127,1,1,شمالی
  قیطریه ,6880,0,2,86,1,4,
  شهرک میرمهنا ,1500,5,1,54,1,1,
  سعدی رشت ,750,10,2,80,1,2,
  جردن ,9295,30,3,143,1,6,
  فرمانیه ,6400,5,2,95,1,1,
  جلفا تهران ,3200,20,2,64,1,2,
  خیابان دولت ,6600,1,2,95,1,4,
  خیابان دولت ,2899,17,1,67,1,3,
  قیطریه ,3620,0,1,46,1,4,
  گلسار ,990,15,2,66,1,3,
  سعدی رشت ,6800,40,2,80,1,3,
  دروس ,13,0,3,140,1,3,
  قیطریه ,8600,6,2,112,1,1,
  قیطریه ,5820,0,2,97,1,5,
  سعدی رشت ,680,40,2,80,1,3,
  میرداماد ,7500,27,3,130,1,1,
  خیابان دولت ,7,1,2,95,1,1,
  درختی ,4,4,1,65,2,6,جنوبی
  خیابان دولت ,4799,2,2,84,1,5,
  فاز ۲ نوبنیاد ,1700,7,10,63,1,2,شمالی
  جردن ,9600,20,3,160,1,4,
  شهرک صدف ,,0,1,63,2,,
  پاسداران ,8640,1,2,120,1,3,
  میرداماد ,7150,14,3,130,1,1,
  ونک ,4400,18,4,110,1,4,
  قیطریه ,13400,0,3,134,1,5,
  پاسداران ,4800,10,2,80,1,4,
  خیابان دولت ,"4,95",0,1,63,1,0,
  قیطریه ,6500,5,2,93,1,1,
  خیابان دولت ,4180,20,2,76,1,2,
  قلهک ,"4,60",2,1,60,1,5,
  سعدی رشت ,600,9,2,75,1,2,
  میرداماد ,4200,8,1,60,1,2,
  پاسداران ,4730,5,2,86,1,3,
  فرمانیه ,7900,12,3,135,1,5,
  ظفر ,4600,1,2,102,1,3,
" فرمانیه
            ",6350,0,3,158,2,2,جنوبی
  ظفر ,1750,30,1,50,1,4,
  گلسار ,1639,15,2,110,1,3,
  اختیاریه ,12,3,3,170,1,2,
  هروی ,6,1,3,112,1,2,
  هروی ,5,10,3,108,1,3,
  هروی ,5500,0,2,110,1,4,
  نیاوران ,22,1,3,200,1,3,
  قبا ,5800,17,2,116,1,1,
  قیطریه ,10100,1,3,122,1,1,
  اختیاریه ,4800,2,1,80,1,3,
  گلسار ,2300,7,2,95,1,2,
  ظفر ,5600,1,2,80,1,4,
  خیابان دولت ,3200,9,2,62,1,3,
  اختیاریه ,6800,0,2,85,1,5,
  اقدسیه ,9500,12,3,160,1,1,
  قیطریه ,5400,6,2,92,1,5,
  قیطریه ,9699,15,3,159,1,5,
  ظفر ,9375,3,2,127,1,6,
  پاسداران ,7980,15,3,133,1,3,
  قیطریه ,11375,10,3,175,1,5,
  میرداماد ,6500,30,2,125,1,1,
  جردن ,11,2,2,115,1,2,
  خیابان دولت ,4860,18,2,90,1,4,
  قیطریه ,8700,11,3,145,1,1,
  میرداماد ,8900,1,2,124,1,2,
  اختیاریه ,7,4,2,97,1,1,
  قبا ,7866,2,3,121,1,6,
  جلفا تهران ,2688,40,1,56,1,4,
  قیطریه ,7600,15,2,115,1,3,
  جردن ,6785,10,2,115,1,3,
  دروس ,5700,20,2,125,1,3,
  جلفا تهران ,8100,0,3,145,1,2,
  میرداماد ,7500,27,2,129,1,1,
  از برج کامرانیه شمالی ,70,1,4,380,2,10,دارد
  میرداماد ,4,15,2,72,1,1,
  خیابان دولت ,7500,1,2,100,1,5,
  از برج یاسر ,60,1,4,450,2,1,دارد
 معلم رشت ,1665,0,2,90,1,3,
  خیابان دولت ,4,35,2,75,1,2,
 معلم رشت ,"2,28",0,2,104,1,2,
  گلسار ,920,15,2,60,1,2,
  ظفر ,11100,0,3,150,1,5,
  ظفر ,7360,0,2,115,1,5,
  اختیاریه ,4800,2,2,84,1,5,
  ونک ,5100,25,2,125,1,3,
  دیباجی ,3300,30,1,64,1,4,
  میرداماد ,11305,0,2,133,1,5,
  قیطریه ,13,12,3,190,1,5,
  قیطریه ,5750,8,2,95,1,3,
  ظفر ,3840,0,1,64,1,5,
  اختیاریه ,6500,15,2,104,1,4,
  ظفر ,11250,1,3,150,1,2,
  تهرانپارس ,35,7,3,141,1,2,جنوبی
  پاسداران ,7854,1,2,102,1,6,
  قیطریه ,12500,0,3,130,1,4,
  پاسداران ,7865,2,3,121,1,6,
  میرداماد ,11550,1,3,135,1,6,
  پاسداران ,13500,0,3,150,1,5,
  میرداماد ,2625,1,4,350,1,4,
  هروی ,5800,10,2,102,1,3,
  ونک ,4700,15,2,85,1,5,
  اختیاریه ,16250,21,4,250,1,5,
  قیطریه ,17,1,3,150,1,4,
  دیباجی ,19360,2,3,242,1,5,
  هروی ,7300,18,3,145,1,5,
  صاحبقرانیه ,50,12,4,450,2,14,-
  پاسداران ,7500,13,3,125,1,1,
  از برج فرمانیه ,30,1,4,300,2,8,دارد
  هروی ,12500,9,3,217,1,4,
  اختیاریه ,12540,13,3,220,1,5,
  فلکه اول تهرانپارس ,23250,0,3,310,1,4,جنوبی
  فرمانیه ,10200,12,3,170,1,4,
  دروس ,14490,2,3,161,1,14,
  اختیاریه ,20160,2,3,224,1,1,
  بهار ,6750,0,3,150,1,2,جنوبی
  پاسداران ,14,9,3,200,1,3,
  خیابان دولت ,9,1,2,120,1,2,
  قیطریه ,5750,8,2,95,1,4,
  از برج زعفرانیه ,26,2,3,200,0,7,-
  پاسداران ,11800,10,4,190,1,2,
  خیابان دولت ,7100,4,2,97,1,1,
  دیباجی ,11300,5,3,185,1,1,
  میرداماد ,3900,15,2,75,1,1,
  ظفر ,7900,8,3,135,1,1,
  فرمانیه ,11400,3,3,140,1,4,
  نیاوران ,16500,5,3,210,1,3,
  قیطریه ,12400,3,3,155,1,5,
  جردن ,10200,0,2,120,1,2,
  میرداماد ,15700,0,3,185,1,3,
  پاسداران ,4600,2,1,64,1,2,
